"id","name","bic","email","phone","street","city","zip","country:id"
"res_bank_RIBRLV22XXX","AS ""Reģionālā investīciju banka""","RIBRLV22XXX","bank@ribbank.com","+371 6750 8989","J. Alunāna iela 2","Rīga","LV-1010","base.lv"
"res_bank_LACBLV2XXXX","Latvijas Banka","LACBLV2XXXX",,67022300,"K. Valdemāra ielā 2a","Rīgā","LV-1050","base.lv"
"res_bank_LAPBLV2XXXX","AS Latvijas pasta banka","LAPBLV2XXXX","info@lpb.lv ","(+371) 6 777 2 999","Brīvības iela 54","Rīga","LV-1011","base.lv"
"res_bank_LKJFLV21XXX","Jūrnieku forums, Latvijas tirdzniecības flotes jūrnieku arodbiedrības kooperatīvā krājaizdevu sabiedrība","LKJFLV21XXX","jurfor@jurfor.lv","+371 67389300","Katrīnas dambis 22A","Rīga","LV-1045","base.lv"
"res_bank_LATBLV22XXX","AS ""NORVIK BANKA""","LATBLV22XXX","welcome@norvik.eu","(+371) 6704 1100","Raiņa bulvāris 11","Rīga","LV-1010","base.lv"
"res_bank_RTMBLV2XXXX","AS “Rietumu Banka”","RTMBLV2XXXX","info@rietumu.lv",67025555,"Vesetas ielā 7","Rīga","LV-1013","base.lv"
"res_bank_RGNSLV22XXX","Rigensis Bank, AS","RGNSLV22XXX","info@rigensisbank.com","(+371) 67 55 55 51, 66 11 88 00","Teātra iela 3","Rīga","LV-1050","base.lv"
"res_bank_TPROLV22XXX","Transact Pro, Sabiedrība ar ierobežotu atbildību","TPROLV22XXX","info@transactpro.lv","+371 67222555","Gustava Zemgala gatve 76","Rīga","LV-1039","base.lv"
"res_bank_LPNSLV21XXX","Latvijas Pasts, Valsts akciju sabiedrība","LPNSLV21XXX","info@pasts.lv","+371 67018800","Ziemeļu iela 10, Lidosta ""Rīga""",,"LV-2167","base.lv"
"res_bank_LLSTLV22XXX","StreamPay, AS","LLSTLV22XXX","sales@streampay.net","+371 67550000","Ganību dambis 26A","Rīga","LV-1005","base.lv"
"res_bank_TRELLV22XXX","VALSTS KASE","TRELLV22XXX","kase@kase.gov.lv",67094222,"Smilšu iela 1","Rīga","LV-1919","base.lv"
"res_bank_MOSBLV2XXXX","Aktsiaselts Eesti Krediidipank Latvijas filiāle","MOSBLV2XXXX","info@krediidipank.ee","+372 6690900","Cēsu iela 31 k-3","Rīga","LV-1012","base.lv"
"res_bank_MARALV22XXX","Danske Bank A/S filiāle Latvijā","MARALV22XXX","info@danskebank.lv","+371 67 959 599","Cēsu iela 31/8","Rīga","LV-1012","base.lv"
"res_bank_NDEALV2XXXX","Luminor Bank AS","NDEALV2XXXX","info@luminor.lv","+371 67 096 096","Skanstes iela 12","Rīga","LV-1013","base.lv"
"res_bank_OKOYLV2XXXX","OP Corporate Bank plc filiāle Latvijā","OKOYLV2XXXX","office@opbank.lv","+371 67777007","Muitas iela 1","Rīga","LV-1010","base.lv"
"res_bank_HANDLV22XXX","Svenska Handelsbanken AB Latvijas filiāle","HANDLV22XXX","riga@handelsbanken.lv","+371 6738 5843","Cēsu iela 31/9","Rīga","LV-1012","base.lv"
"res_bank_FSCELV22XXX","SIA ""FSC EU""","FSCELV22XXX","info@firstswisscard.com","+371 67500001","Lielirbes iela 17A","Rīga","LV-1046","base.lv"
"res_bank_TRSFLV22XXX","Transferta, Sabiedrība ar ierobežotu atbildību","TRSFLV22XXX",,"+371 26490285","Lāčplēša iela 88 - 1","Rīga","LV-1003","base.lv"
"res_bank_CLJUGB21XXX","Clear Junction Limited","CLJUGB21XXX","info@clearjunction.com",,"138 Holborn","London","EC1N 2SW","base.uk"
"res_bank_DCTTGB21XXX","DECTA LIMITED","DCTTGB21XXX","info@decta.com","+371 63 007 007","Duntes street 6","Riga","LV-1013","base.lv"
